id,username,created_at,lng,lat,text
1518838044039602176,paola_vlobos,Tue Apr 26 06:23:03 +0000 2022,-118.36964499999999,34.0870095,me: you know who I’ve been really into lately Ethan: who?me: baby keemEthan: oh yeah I styled him for the Grammys and he won
1518838044408877061,JyasiGalloway,Tue Apr 26 06:23:03 +0000 2022,-95.44648649999999,29.838495,LOAD &amp; NIGO shit was complete flames
1518838044643643393,authorofmystery,Tue Apr 26 06:23:03 +0000 2022,-117.8505745,33.8819225,I would rather get what they’re offering than the $10 every 2-3 weeks that you’re proposing ! James… you’re an effi… https://t.co/e9RsC2dSJK
1518838046518562817,nyc_earthling,Tue Apr 26 06:23:03 +0000 2022,-73.9685415,40.780709,@Paaay10 @LILKIMVIDEOS2 Don’t listen to that other person speaking for all of us by replying to this thread. Thank… https://t.co/Or0bYUv8gI
1518838050582843396,DROLAViSH,Tue Apr 26 06:23:04 +0000 2022,-73.9685415,40.780709,WiSH i WAS BETTER
1518838050779852800,liizzmarie,Tue Apr 26 06:23:04 +0000 2022,-118.4119065,34.0207895,"Legs , abs &amp; cardio let’s go :p"
1518838051711164416,everylotla,Tue Apr 26 06:23:04 +0000 2022,-118.34936765,34.21740493,10032 Lanark Street https://t.co/Iz78NmyJnx
1518838052969279488,bratgirlyann,Tue Apr 26 06:23:05 +0000 2022,-78.8954405,35.9909825,the weirdest shit just happened lol then i seen an angel number 🥰
1518838058119966720,ThatsLudaChriss,Tue Apr 26 06:23:06 +0000 2022,-117.46269799999999,34.1081605,It must be that other niggas turn today
1518838058090737664,NOTPVRADISE,Tue Apr 26 06:23:06 +0000 2022,-76.964999,38.9427745,spinner was poor and he looked greasy idk why paige was with him anyway
1518838056899514368,sandinycactor41,Tue Apr 26 06:23:06 +0000 2022,-73.9685415,40.780709,See what I mean? Hmpth. #nycsubway #empty #eightpm #whereiseveryone https://t.co/8qCUmGfBA5
1518838061500710912,mistyb415,Tue Apr 26 06:23:07 +0000 2022,-122.46755736,37.70990659,"I'm at Extreme Pizza in San Francisco, CA https://t.co/skWWJIwthD"
1518838067729076224,ArtistRuthFlett,Tue Apr 26 06:23:08 +0000 2022,-110.0447835,46.6798,@NatashaCL7 If what you want is Tacos &amp; Beer than sure
1518838067775381505,Im_Dichotomous,Tue Apr 26 06:23:08 +0000 2022,-83.26854449999999,42.2255775,@BobGolen Fuck it Bob you can have Twitter now before I go it yours NOW with 1 Itzy Bitzy request… U must Change th… https://t.co/uc70iertwa
1518838068148678658,Heavenleighskye,Tue Apr 26 06:23:08 +0000 2022,-74.3305,40.2813,When GOD is on your side you can't fail.  I am so blessed. I love you so much!!!!  You know who you are my love @ M… https://t.co/UIAdzph0We
1518838069129990145,Patrick_ONeal,Tue Apr 26 06:23:08 +0000 2022,-118.4119065,34.0207895,@fauxjoemadd @Markgubicza @lindseyadler Thanks man!
1518838073601232896,AAgbayani,Tue Apr 26 06:23:10 +0000 2022,-157.85941,21.30823,Gorgeous huh. @ Alii Place https://t.co/i6oPe3diwl
1518838077258706946,dangerdansykes,Tue Apr 26 06:23:10 +0000 2022,-96.29164850000001,30.585471499999997,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/LWmuZ359JW
1518838078768566272,LifeBarbiedoll,Tue Apr 26 06:23:11 +0000 2022,-92.0611765,30.206079000000003,Who in #lafayette
1518838079078821889,basicxbrian,Tue Apr 26 06:23:11 +0000 2022,-121.8737305,37.331159,Wtf just happened in Ozark 🤢
1518838082853908480,YapYapTRUMP2024,Tue Apr 26 06:23:12 +0000 2022,-88.5540415,30.3640485,@FoxNews @greggutfeld Yes he has! Thank you Elon Musk!👍
1518838083575238656,itsNeezy__,Tue Apr 26 06:23:12 +0000 2022,-78.8954405,35.9909825,@supacdee @lanadeljayde @realrolltru Imagine thinking that dumb shit makes any sense.🤣🤣🤣
1518838084485500928,tx_alita,Tue Apr 26 06:23:12 +0000 2022,-96.7617535,32.819858499999995,@cristalboss91 @sendtittypic As I should 🫡
1518838085127180288,kevcastLA,Tue Apr 26 06:23:12 +0000 2022,-96.7617535,32.819858499999995,@RonnyJacksonTX @elonmusk We will still call you out on all your lies.  Which are many.
1518838084623912961,CassyArsenault,Tue Apr 26 06:23:12 +0000 2022,-84.53981250000001,39.137038000000004,Loyal to the end. Love your friends. ❤️ https://t.co/eK2k7PAIzi
1518838087735984128,bennycxxx,Tue Apr 26 06:23:13 +0000 2022,-115.135165,36.0609645,Anyone else have a list of people to identify your body?
1518838091301064709,silverorca007,Tue Apr 26 06:23:14 +0000 2022,-118.130426,33.9376735,@jadedcreative In one day?
1518838095529005056,Kohta_Nakai,Tue Apr 26 06:23:15 +0000 2022,-100.0768885,31.1688935,"Recently my employer called a photographer for headshots, and I got a shot too. Today the shot was emailed and I go… https://t.co/3WywVgdgZo"
1518838104651673600,ricosuave5050,Tue Apr 26 06:23:17 +0000 2022,-95.5398525,30.181251500000002,This pre workout just rushing through my body knocking everything over and I just want to go to sleep 😩
1518838105075335168,TsMistressZoey,Tue Apr 26 06:23:17 +0000 2022,-75.117998,40.0048655,Spaces talking about the same old shit just a different day🙄🙄🙄
1518838106559983616,MikeDav03929963,Tue Apr 26 06:23:17 +0000 2022,-104.84704400000001,39.386793999999995,"@benmaller fabulous opening monologue, the Bets only have themselves to blame for their catastrophic failure. They… https://t.co/6kZoUuN3tM"
1518838106975219712,2sad2serious,Tue Apr 26 06:23:18 +0000 2022,-118.4119065,34.0207895,just got home and immediately chugged 16oz of water 💧
1518838108187463682,sossquad94,Tue Apr 26 06:23:18 +0000 2022,-73.938142,42.8031345,"Check out my new single ""Twin Towers (feat. El Frappido)"" distributed by @DistroKid and live on iTunes! https://t.co/XhlNUTJYMo"
1518838110649520128,C_D_Stinson,Tue Apr 26 06:23:18 +0000 2022,-86.791549,36.200008,The best way to keep a prisoner from escaping is to make sure he never knows he's in prison.~ Fyodor Dostoevsky
1518838112402608129,tylerdisney12,Tue Apr 26 06:23:19 +0000 2022,-118.4119065,34.0207895,@KirstenKing_ @hulu @americanhigh I saw that today when I was driving by and I was screaming
1518838112771887107,JuneteenProject,Tue Apr 26 06:23:19 +0000 2022,-81.5258,28.6899,PLEASE SIGN THE PETITION https://t.co/6nlMy6Qe7g JusticeForTyreSampson #StLouis #TyreSampson #BadBoyz #Football… https://t.co/6w23IRWig7
1518838114403323905,DazColz,Tue Apr 26 06:23:19 +0000 2022,-122.43027699999999,48.753352500000005,an institution https://t.co/JJQpu0bSIC
1518838115670106113,TERRANCEEHEALY,Tue Apr 26 06:23:20 +0000 2022,-80.03926150000001,26.682504,@circus_racing @LandoNorris @McLarenF1 Winner
1518838115615612928,Billyberoo,Tue Apr 26 06:23:20 +0000 2022,-97.81364500000001,30.5059585,@FRevolution2021 @unusual_ape Who is gonna buy a $55 call when you want to sell if the price ain't gonna go higher… https://t.co/Y2mZ7axzmC
